8.4964 0.88914 9.882 1.2133
10.41 4.76 3.6336 -2.4163
1.3834 3.3699 6.2564 -2.1442
3.5089 1.9217 10.285 1.1508
9.6464 7.9294 7.4786 -8.0233
2.715 3.9757 6.7409 -2.3122
0.42804 12.053 4.1579 -0.19608
5.4859 6.2665 5.1735 -5.3774
11.773 9.2816 9.9778 3.8619
3.2935 0.16029 4.3129 -1.9546
7.1596 7.6071 5.8133 -7.4815
4.5183 7.2439 4.6222 -2.0993
0.33726 10.146 8.5397 0.040322
6.2885 8.2306 7.1349 -5.722
10.393 11.036 8.1905 -5.9144
3.2545 11.34 6.1715 -3.1527
0.57661 1.913 5.0072 0.003263
3.0973 2.42 6.0002 -3.0415
8.303 9.9397 0.83676 7.5634
4.1395 0.76284 5.1651 -2.9567
8.2875 4.8987 12.178 7.6504
0.16341 3.7695 9.8108 0.081422
9.0235 9.226 9.1611 -1.5093
4.9149 1.3095 9.6214 1.1741
0.42104 9.9598 9.5075 0.031405
5.1021 9.8361 10.597 3.1276
9.0014 6.6903 9.6781 1.2776
11.578 3.1837 12.298 12.302
12.366 0.89164 1.3994 9.6383
12.358 7.8641 4.9772 -9.8221
11.263 0.31016 6.1834 -11.825
10.879 0.77965 3.2433 0.13702
10.065 1.6288 0.46453 9.6915
6.9741 5.6626 12.244 6.7011
5.2637 8.4488 9.1285 -1.6093
1.5975 10.758 1.8594 1.6086
8.2262 6.2636 1.8585 5.8528
10.857 0.61304 8.8571 -2.7779
3.4507 3.9437 4.7877 -2.7558
10.558 8.063 0.96021 8.8328
