1,4,8,8
1,4,9,9
1,4,10,10
1,4,11,11
1,4,12,12
1,5,8,8
1,5,9,9
1,5,10,10
1,5,11,11
1,5,12,12
1,6,8,8
1,6,9,9
1,6,10,10
1,6,11,11
1,6,12,12
1,7,8,8
1,7,9,9
1,7,10,10
1,7,11,11
1,7,12,12
2,4,8,8
2,4,9,9
2,4,10,10
2,4,11,11
2,4,12,12
2,5,8,8
2,5,9,9
2,5,10,10
2,5,11,11
2,5,12,12
2,6,8,8
2,6,9,9
2,6,10,10
2,6,11,11
2,6,12,12
2,7,8,8
2,7,9,9
2,7,10,10
2,7,11,11
2,7,12,12
3,4,8,8
3,4,9,9
3,4,10,10
3,4,11,11
3,4,12,12
3,5,8,8
3,5,9,9
3,5,10,10
3,5,11,11
3,5,12,12
3,6,8,8
3,6,9,9
3,6,10,10
3,6,11,11
3,6,12,12
3,7,8,8
3,7,9,9
3,7,10,10
3,7,11,11
3,7,12,12
